date,nav
20160321,678.31
20160322,677.83
20160323,678.6
20160324,677.7
20160325,678.19
20160328,676.96
20160329,675.16
20160330,677.95
20160331,678.27
20160401,678.18
20160405,680.61
20160406,680.85
20160407,679.35
20160408,678.36
20160411,680.3
20160412,679.39
20160413,680.33
20160414,680.41
20160415,679.89
20160418,678.85
20160419,679.02
20160420,675.19
20160421,673.84
20160422,673.7
20160425,672.37
20160426,672.43
20160427,672.51
20160428,672.19
20160429,672.33
20160503,674.89
20160504,675.15
20160505,675.63
20160506,673.33
20160509,671.35
20160510,671.74
20160511,671.85
20160512,671.83
20160513,671.72
20160516,672.98
20160517,672.96
20160518,670.88
20160519,670.9
20160520,671.7
20160523,672.81
20160524,672.55
20160525,672.19
20160526,672.25
20160527,672.29
20160530,672.1
20160531,675.08
20160601,675.51
20160602,676.21
20160603,676.86
20160606,677.28
20160607,677.23
20160608,677.04
20160613,674.02
20160614,674.21
20160615,676.45
20160616,676.35
20160617,677.11
20160620,677.7
20160621,677.08
20160622,678.36
20160623,678.38
20160624,678.0
20160627,680.14
20160628,680.89
20160629,681.23
20160630,681.36
20160701,681.69
20160704,683.78
20160705,684.25
20160706,684.91
20160707,685.02
20160708,684.79
20160711,684.47
20160712,685.81
20160713,686.6
20160714,686.78
20160715,686.69
20160718,686.49
20160719,686.53
20160720,686.7
20160721,687.3
20160722,686.48
20160725,686.5
20160726,687.77
20160727,685.14
20160728,685.32
20160729,684.87
20160801,683.94
20160802,684.71
20160803,685.23
20160804,685.62
20160805,685.67
20160808,686.68
20160809,687.53
20160810,687.55
20160811,686.81
20160812,688.0
20160815,690.43
20160816,690.64
20160817,690.69
20160818,690.86
20160819,691.04
20160822,690.14
20160823,690.13
20160824,690.0
20160825,689.66
20160826,690.11
20160829,690.19
20160830,690.0
20160831,690.19
20160901,689.59
20160902,689.41
20160905,689.75
20160906,691.04
20160907,691.1
20160908,691.36
20160909,690.88
20160912,688.75
20160913,689.14
20160914,688.71
20160919,689.56
20160920,689.55
20160921,689.77
20160922,690.49
20160923,690.47
20160926,689.0
20160927,689.53
20160928,689.53
20160929,690.06
20160930,690.56
20161010,692.51
20161011,693.1
20161012,692.96
20161013,693.16
20161014,693.35
20161017,692.79
20161018,694.06
20161019,694.09
20161020,694.5
20161021,694.66
20161024,695.43
20161025,695.46
20161026,694.79
20161027,694.52
20161028,694.34
20161031,694.21
20161101,694.89
20161102,694.52
20161103,695.11
20161104,695.17
20161107,695.29
20161108,695.78
20161109,695.2
20161110,696.14
20161111,696.28
20161114,696.49
20161115,696.29
20161116,696.15
20161117,695.78
20161118,695.29
20161121,695.83
20161122,696.62
20161123,696.61
20161124,696.62
20161125,697.17
20161128,697.47
20161129,696.89
20161130,695.62
20161201,695.62
20161202,694.18
20161205,693.01
20161206,692.1
20161207,692.78
20161208,692.77
20161209,692.91
20161212,689.21
20161213,688.52
20161214,687.18
20161215,684.26
20161216,684.72
20161219,683.89
20161220,682.62
20161221,683.98
20161222,684.8
20161223,684.73
20161226,685.31
20161227,685.52
20161228,685.25
20161229,685.53
20161230,686.41
20170103,687.62
20170104,688.69
20170105,688.8
20170106,688.39
20170109,689.16
20170110,689.24
20170111,688.64
20170112,688.17
20170113,687.65
20170116,686.46
20170117,686.82
20170118,686.52
20170119,686.06
20170120,687.29
20170123,688.18
20170124,688.08
20170125,688.29
20170126,688.93
20170203,688.13
20170206,688.33
20170207,687.66
20170208,688.11
20170209,688.64
20170210,689.01
20170213,689.92
20170214,689.99
20170215,689.45
20170216,690.0
20170217,689.49
20170220,691.11
20170221,691.64
20170222,692.09
20170223,691.93
20170224,692.22
20170227,691.41
20170228,691.63
20170301,691.83
20170302,691.32
20170303,691.39
20170306,692.19
20170307,692.44
20170308,692.1
20170309,691.37
20170310,691.31
20170313,692.23
