date,nav
20080611,2.2997
20080612,2.2949
20080613,2.2896
20080616,2.2881
20080617,2.2821
20080618,2.2942
20080619,2.2714
20080620,2.279
20080623,2.2704
20080624,2.2735
20080625,2.2874
20080626,2.286
20080627,2.2689
20080630,2.2628
20080701,2.2488
20080702,2.2487
20080703,2.2554
20080704,2.2542
20080707,2.2734
20080708,2.2746
20080709,2.2922
20080710,2.2908
20080711,2.289
20080714,2.2942
20080715,2.2761
20080716,2.2632
20080717,2.264
20080718,2.2776
20080721,2.2905
20080722,2.2881
20080723,2.2848
20080724,2.2984
20080725,2.292
20080728,2.2934
20080729,2.2886
20080730,2.2851
20080731,2.2749
20080801,2.2814
20080804,2.2764
20080805,2.2688
20080806,2.2727
20080807,2.2718
20080808,2.2539
20080811,2.2383
20080812,2.2384
20080813,2.2361
20080814,2.2379
20080815,2.2407
20080818,2.2222
20080819,2.2268
20080820,2.2533
20080821,2.2412
20080822,2.2349
20080825,2.2349
20080826,2.2276
20080827,2.2262
20080828,2.2293
20080829,2.2362
20080901,2.2251
20080902,2.221
20080903,2.2128
20080904,2.2136
20080905,2.2084
20080908,2.2058
20080909,2.2082
20080910,2.2086
20080911,2.2011
20080912,2.201
20080916,2.1946
20080917,2.189
20080918,2.1891
20080919,2.2065
20080922,2.2145
20080923,2.2051
20080924,2.2071
20080925,2.2105
20080926,2.2099
20080930,2.2097
20081006,2.1977
20081007,2.2007
20081008,2.1977
20081009,2.1976
20081010,2.1927
20081013,2.1984
20081014,2.1927
20081015,2.1942
20081016,2.1895
20081017,2.1879
20081020,2.1887
20081021,2.1899
20081022,2.1887
20081023,2.1869
20081024,2.1813
20081027,2.1738
20081028,2.1818
20081029,2.1791
20081030,2.1834
20081031,2.1842
20081103,2.1857
20081104,2.1845
20081105,2.1876
20081106,2.187
20081107,2.1879
20081110,2.1941
20081111,2.1946
20081112,2.1965
20081113,2.202
20081114,2.1998
20081117,2.2009
20081118,2.1962
20081119,2.1949
20081120,2.1946
20081121,2.1955
20081124,2.1943
